V_sim16 trades on 2025-12-18 - Total: 169

Entry Time                     | Exit Time                      | Price In   | Price Out  | Qty | PnL       
------------------------------------------------------------------------------------------------------------------------
2025-12-18T00:14:42.982000     | 2025-12-18T00:24:02.360000     | 24986.25   | 24982.25   | 1   | 75.80     
2025-12-18T00:14:42.982000     | 2025-12-18T00:25:10.413000     | 24986.25   | 24977.0    | 1   | 180.80    
2025-12-18T00:14:42.982000     | 2025-12-18T00:27:47.266000     | 24986.25   | 24976.75   | 1   | 185.80    
2025-12-18T00:42:04.281000     | 2025-12-18T00:46:20.039000     | 24991.5    | 24976.0    | 3   | -942.60   
2025-12-18T00:56:12.342000     | 2025-12-18T01:00:21.021000     | 24988.75   | 24979.5    | 3   | -567.60   
2025-12-18T01:16:33.269000     | 2025-12-18T01:19:17.190000     | 24976.0    | 24985.0    | 3   | -552.60   
2025-12-18T01:25:19.136000     | 2025-12-18T01:27:34.190000     | 24972.25   | 24981.75   | 3   | -582.60   
2025-12-18T01:46:58.024000     | 2025-12-18T01:48:37.040000     | 24975.25   | 24971.25   | 1   | 75.80     
2025-12-18T01:46:58.024000     | 2025-12-18T01:48:52.777000     | 24975.25   | 24966.0    | 1   | 180.80    
2025-12-18T01:46:58.024000     | 2025-12-18T01:50:08.844000     | 24975.25   | 24973.0    | 1   | 40.80     
2025-12-18T01:54:07.334000     | 2025-12-18T01:57:27.211000     | 24955.0    | 24969.5    | 3   | -882.60   
2025-12-18T02:00:01.903000     | 2025-12-18T02:00:12.319000     | 24985.75   | 24990.0    | 1   | 80.80     
2025-12-18T02:00:01.903000     | 2025-12-18T02:00:34.955000     | 24985.75   | 24995.25   | 1   | 185.80    
2025-12-18T02:00:01.903000     | 2025-12-18T02:02:05.928000     | 24985.75   | 24997.75   | 1   | 235.80    
2025-12-18T02:12:14.306000     | 2025-12-18T02:12:41.758000     | 25020.5    | 25025.25   | 1   | 90.80     
2025-12-18T02:12:14.306000     | 2025-12-18T02:12:48.439000     | 25020.5    | 25019.75   | 2   | -38.40    
2025-12-18T02:15:23.806000     | 2025-12-18T02:18:14.374000     | 25026.0    | 25030.75   | 1   | 90.80     
2025-12-18T02:15:23.806000     | 2025-12-18T02:18:56.257000     | 25026.0    | 25026.25   | 2   | 1.60      
2025-12-18T02:26:26.539000     | 2025-12-18T04:18:30.933000     | 25039.0    | 25030.75   | 3   | -507.60   
2025-12-18T04:05:56.915000     | 2025-12-18T04:46:12.010000     | 25046.75   | 25084.25   | 1   | 745.80    
2025-12-18T04:05:56.915000     | 2025-12-18T04:46:12.123000     | 25046.75   | 25080.75   | 1   | 675.80    
2025-12-18T04:18:47.320000     | 2025-12-18T04:46:12.123000     | 25037.5    | 25080.75   | 1   | 860.80    
2025-12-18T04:18:47.320000     | 2025-12-18T04:52:47.070000     | 25037.5    | 25094.25   | 1   | 1130.80   
2025-12-18T04:18:47.320000     | 2025-12-18T04:54:48.108000     | 25037.5    | 25092.0    | 1   | 1085.80   
2025-12-18T04:46:08.280000     | 2025-12-18T04:54:48.108000     | 25082.0    | 25092.0    | 1   | 195.80    
2025-12-18T04:46:08.280000     | 2025-12-18T05:03:31.564000     | 25082.0    | 25091.25   | 2   | 361.60    
2025-12-18T04:52:26.967000     | 2025-12-18T05:03:31.564000     | 25091.75   | 25091.25   | 1   | -14.20    
2025-12-18T04:52:26.967000     | 2025-12-18T05:15:39.057000     | 25091.75   | 25071.75   | 2   | -808.40   
2025-12-18T05:00:00.964000     | 2025-12-18T05:15:39.057000     | 25097.5    | 25071.75   | 1   | -519.20   
2025-12-18T05:00:00.964000     | 2025-12-18T05:31:24.672000     | 25097.5    | 25089.5    | 1   | -164.20   
2025-12-18T05:00:00.964000     | 2025-12-18T05:32:35.526000     | 25097.5    | 25094.25   | 1   | -69.20    
2025-12-18T05:23:44.901000     | 2025-12-18T05:35:30.687000     | 25068.25   | 25086.25   | 1   | 355.80    
2025-12-18T05:23:51.661000     | 2025-12-18T06:13:03.344000     | 25071.5    | 25094.0    | 1   | 445.80    
2025-12-18T05:23:51.661000     | 2025-12-18T06:13:53.803000     | 25071.5    | 25090.5    | 1   | 375.80    
2025-12-18T05:30:00.575000     | 2025-12-18T06:13:53.803000     | 25085.5    | 25090.5    | 1   | 95.80     
