ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Positions	2025-12-18  00:02:09.340385	00:00:00.000000				Unspecified	V_sim16								Removing Position with quantity of 0			N	NQH26					0.00				
Orders	2025-12-18  00:14:43.353621	2025-12-18  00:14:43.353612		Market	3	Order Sent	V_sim16	Sell					AT_NQ_TM(D-R-2+last50)		Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | SellEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  00:12:00.000 | Last: 24987.25 | AOE=false | AOU=false	20090786	Open	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  00:14:43.550948	2025-12-18  00:14:43.550942	36781878	Market	3	Pending Open	V_sim16	Sell					AT_NQ_TM(D-R-2+last50)		Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20090786	Open	Y	NQH26					0.00		20090786.13125	Good till Canceled	shimishon
Orders	2025-12-18  00:14:43.551005	2025-12-18  00:14:43.551004	36781878	Market	3	Open	V_sim16	Sell					AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090786	Open	Y	NQH26					0.00	36781878	20090786.13125	Good till Canceled	shimishon
Orders	2025-12-18  00:14:43.551020	2025-12-18  00:14:43.551019	36781878	Market	3	Filled	V_sim16	Sell			24986.25	3	AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.25 Ask: 24987.00 Last: 24987.25. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090786	Open	Y	NQH26		36781878.1			0.00	36781878	20090786.13125	Good till Canceled	shimishon
Positions	2025-12-18  00:14:43.551031	00:00:00.000000			3	Unspecified	V_sim16							-3	Updated Internal Position Quantity to -3. Previous: 0. Fill of InternalOrderID: 20090786			N	NQH26					0.00				
Fills	2025-12-18  00:14:43.551035	2025-12-18  00:14:42.982000	36781878	Market	3	Filled	V_sim16	Sell			24986.25	3	AT_NQ_TM(D-R-2+last50)	-3	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.25 Ask: 24987.00 Last: 24987.25. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090786	Open	Y	NQH26		36781878.1			0.00	36781878	20090786.13125	Good till Canceled	shimishon
Positions	2025-12-18  00:14:43.597843	00:00:00.000000				Unspecified	V_sim16							-3	Updated Service Position Quantity to -3			N	NQH26					0.00				
Orders	2025-12-18  00:14:43.666510	2025-12-18  00:14:43.666504		Stop Limit	3	Order Sent	V_sim16	Buy	24993.00	25003.00			AT_NQ_TM(D-R-2+last50)	-3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | BuyEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  00:12:00.000 | Last: 24987.25 | Scaling out | AOE=false | AOU=false	20090792	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  00:14:43.666845	2025-12-18  00:14:43.666840		Limit	1	Order Sent	V_sim16	Buy	24982.25				AT_NQ_TM(D-R-2+last50)	-3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | BuyEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  00:12:00.000 | Last: 24987.25 | Scaling out | AOE=false | AOU=false	20090793	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  00:14:43.666977	2025-12-18  00:14:43.666973		Limit	1	Order Sent	V_sim16	Buy	24977.00				AT_NQ_TM(D-R-2+last50)	-3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | BuyEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  00:12:00.000 | Last: 24987.25 | Scaling out | AOE=false | AOU=false	20090794	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  00:14:43.667098	2025-12-18  00:14:43.667095		Limit	1	Order Sent	V_sim16	Buy	24945.00				AT_NQ_TM(D-R-2+last50)	-3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | BuyEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  00:12:00.000 | Last: 24987.25 | Scaling out | AOE=false | AOU=false	20090795	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  00:14:43.916251	2025-12-18  00:14:43.916247	36781884	Stop Limit	3	Pending Open	V_sim16	Buy	24993.00	25003.00			AT_NQ_TM(D-R-2+last50)	-3	Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20090792	Close	Y	NQH26					0.00		20090792.52349	Good till Canceled	shimishon
Orders	2025-12-18  00:14:43.916276	2025-12-18  00:14:43.916274	36781884	Stop Limit	3	Open	V_sim16	Buy	24993.00	25003.00			AT_NQ_TM(D-R-2+last50)	-3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090792	Close	Y	NQH26					0.00	36781884	20090792.52349	Good till Canceled	shimishon
Orders	2025-12-18  00:14:43.916314	2025-12-18  00:14:43.916312	36781885	Limit	1	Pending Open	V_sim16	Buy	24982.25				AT_NQ_TM(D-R-2+last50)	-3	Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20090793	Close	Y	NQH26					0.00		20090793.26498	Good till Canceled	shimishon
Orders	2025-12-18  00:14:43.916328	2025-12-18  00:14:43.916327	36781885	Limit	1	Open	V_sim16	Buy	24982.25				AT_NQ_TM(D-R-2+last50)	-3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090793	Close	Y	NQH26					0.00	36781885	20090793.26498	Good till Canceled	shimishon
Orders	2025-12-18  00:14:43.916352	2025-12-18  00:14:43.916351	36781886	Limit	1	Pending Open	V_sim16	Buy	24977.00				AT_NQ_TM(D-R-2+last50)	-3	Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20090794	Close	Y	NQH26					0.00		20090794.84597	Good till Canceled	shimishon
