Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Account	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Open Position Quantity	Close Position Quantity	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
CLF26	Short	2025-12-03  05:01:58.000 BP	2025-12-03  05:09:14.000	59.43	59.50	1	4	1	-74.20	-2415.00	00:07:16	4.20	59.50	59.41	-4.7%	IPS_TM_5dupli	0.0%	-74.20	20.00	-70.00	20.00	-70.00	AutoTrader_	-82.4%	1	3	0.00	-2542.40	201.60	-2542.40
CLF26	Short	2025-12-03  05:01:58.000	2025-12-03  05:09:14.000	59.43	59.50	2	4	3	-148.40	-2563.40	00:07:16	8.40	59.50	59.41	22.8%	IPS_TM_5dupli	0.0%	-222.60	60.00	-210.00	40.00	-140.00	AutoTrader_	-55.0%	4	1	0.00	-2563.40	201.60	-2563.40
CLF26	Short	2025-12-03  05:01:58.000	2025-12-03  05:31:28.000 EP	59.43	59.53	1	4	4	-104.20	-2667.60	00:29:30	4.20	59.53	59.41	52.8%	IPS_TM_5dupli	0.0%	-326.80 F	80.00	-310.00	20.00	-100.00	AutoTrader_	-26.7%	4	0	0.00	-2667.60	201.60	-2667.60
CLF26	Long	2025-12-03  05:31:28.000 BP	2025-12-03  05:36:34.000 EP	59.53	59.45	2	2	2	-168.40	-2836.00	00:05:06	8.40	59.55	59.44	5.3%	IPS_TM_5dupli	100.0%	-168.40 F	40.00	-180.00	40.00	-180.00	AutoTrader_	-76.5%	2	0	0.00	-2836.00	201.60	-2836.00
CLF26	Short	2025-12-03  05:36:34.000 BP	2025-12-03  05:43:50.000 EP	59.45	59.45	1	1	1	-4.20	-2840.20	00:07:16	4.20	59.45	59.45	0.0%	IPS_TM_5dupli	9.1%	-4.20 F	0.00	0.00	0.00	0.00	AutoTrader_	0.0%	1	0	0.00	-2840.20	201.60	-2840.20
CLF26	Long	2025-12-03  05:43:50.000 BP	2025-12-03  05:47:50.000	59.45	59.52	1	2	1	65.80	-2774.40	00:04:00	4.20	59.52	59.43	95.3%	IPS_TM_5dupli	100.0%	65.80	70.00	-20.00	70.00	-20.00	AutoTrader_	73.1%	2	1	0.00	-2840.20	201.60	-2840.20
CLF26	Long	2025-12-03  05:43:50.000	2025-12-03  06:00:30.000 EP	59.45	59.48	1	2	2	25.80	-2748.60	00:16:40	4.20	59.55	59.43	31.3%	IPS_TM_5dupli	100.0%	91.60 F	170.00	-40.00	100.00	-20.00	AutoTrader_	12.3%	2	0	0.00	-2840.20	201.60	-2840.20
CLF26	Short	2025-12-03  06:00:30.000 BP	2025-12-03  06:27:58.000	59.48	59.40	1	6	1	75.80	-2672.80	00:27:28	4.20	59.52	59.40	96.5%	IPS_TM_5dupli	0.0%	75.80	80.00	-40.00	80.00	-40.00	AutoTrader_	63.2%	1	5	0.00	-2840.20	201.60	-2840.20
CLF26	Short	2025-12-03  06:00:30.000	2025-12-03  06:50:48.000	59.47	59.46	2	6	3	11.60	-2661.20	00:50:18	8.40	59.52	59.40	42.1%	IPS_TM_5dupli	0.0%	87.40	220.00	-140.01	140.00	-100.00	AutoTrader_	3.2%	3	3	0.00	-2840.20	201.60	-2840.20
CLF26	Short	2025-12-03  06:00:30.000	2025-12-03  06:50:50.000	59.47	59.46	2	6	5	11.60	-2649.60	00:50:20	8.40	59.52	59.40	41.9%	IPS_TM_5dupli	0.0%	99.00	360.00	-240.01	140.00	-100.00	AutoTrader_	1.9%	6	1	0.00	-2840.20	201.60	-2840.20
