=== SECTION 1: BAR SIGNAL LIST (from GraphData) ===
Date,Bar_Time_NY,Direction,Open,High,Low,Close,Entry_Price,Target1_Price,Stop_Loss_Price,Bar_Volume_1000,Bid_Volume,Ask_Volume,Auto_Executed
2026-6-10,16:17:37.878000,BUY,28795.0,28817.25,28776.75,28808.5,28810.25,0.25,28810.0,1000,450,550,YES
2026-6-10,16:22:43.891000,SELL,28810.0,28812.0,28773.75,28782.5,28776.75,28776.5,28817.5,1000,517,483,YES
2026-6-10,16:29:47.978000,SELL,28782.75,28782.75,28747.5,28769.5,28773.75,28773.5,28812.25,1000,515,485,YES
2026-6-10,16:44:33.305000,SELL,28758.25,28759.25,28707.25,28734.5,28747.5,28747.25,28792.25,1000,532,468,YES
2026-6-10,16:48:57.302003,SELL,28734.5,28739.0,28701.75,28726.25,28707.25,28707.0,28759.5,1000,504,496,YES
2026-6-10,16:58:45.687000,SELL,28756.0,28767.5,28696.75,28722.25,28726.25,28726.0,28779.5,1000,576,424,YES
2026-6-10,18:00:57.103000,SELL,28724.75,28736.0,28668.75,28683.25,28696.75,28696.5,28767.75,1000,530,470,YES
2026-6-10,18:05:00.943000,SELL,28682.0,28686.0,28655.75,28681.75,28668.75,28668.5,28736.25,1000,483,517,YES
2026-6-10,18:10:30.572002,SELL,28681.75,28702.5,28650.75,28688.25,28655.75,28655.5,28686.25,1000,526,474,YES
2026-6-10,18:44:22.610002,SELL,28723.5,28742.5,28682.75,28726.25,28723.5,28723.25,28762.75,1000,514,486,YES
2026-6-10,18:48:13.425002,SELL,28726.25,28748.5,28663.5,28679.75,28682.75,28682.5,28742.75,1000,531,469,YES
2026-6-10,18:54:54.780001,SELL,28679.5,28679.5,28621.0,28640.0,28663.5,28663.25,28748.75,1000,587,413,YES
2026-6-10,18:59:19.276000,SELL,28640.25,28666.25,28598.75,28665.75,28621.0,28620.75,28679.75,1000,472,528,YES
2026-6-10,19:10:49.477001,SELL,28624.5,28627.0,28572.75,28575.5,28620.75,28620.5,28669.75,1000,563,437,YES
2026-6-10,19:14:39.509009,SELL,28575.75,28600.0,28558.5,28577.75,28572.75,28572.5,28627.25,1000,492,508,YES
