account,date,total_raw_fills,ghost_fills_dropped,bypass_mode_active,note_coverage_rate,dirty_trades,dirty_net,dirty_wins,clean_trades,clean_net,clean_wins,pnl_delta,pnl_delta_pct,flagged_for_review,flag_reason
T-S_production,2023-11-02,29,0,0,0.828,16,710.0,7,16,710.0,7,0.0,0.0,0,
T-S_production,2023-11-03,77,0,0,0.831,41,-6146.4,11,41,-6146.4,11,0.0,0.0,0,
T-S_production,2023-11-06,56,0,0,0.786,29,-4165.0,10,29,-4165.0,10,0.0,0.0,0,
T-S_production,2023-11-07,64,0,0,0.797,35,-30026178.8,18,35,-30026178.8,18,0.0,0.0,0,
T-S_production,2023-11-08,58,0,0,0.828,32,-29951112.4,6,32,-29951112.4,6,0.0,0.0,0,
T-S_production,2023-11-09,55,0,0,0.727,28,-2605.0,6,28,-2605.0,6,0.0,0.0,0,
T-S_production,2023-11-10,52,0,0,0.788,28,-270.0,12,28,-270.0,12,0.0,0.0,0,
T-S_production,2023-11-13,56,0,0,0.821,30,-2375.0,8,30,-2375.0,8,0.0,0.0,0,
T-S_production,2023-11-14,78,0,0,0.795,41,-30853452.8,10,41,-30853452.8,10,0.0,0.0,0,
T-S_production,2023-11-15,58,0,0,0.793,31,-31144113.8,12,31,-31144113.8,12,0.0,0.0,0,
T-S_production,2023-11-16,51,0,0,0.765,28,-46765.0,17,28,-46765.0,17,0.0,0.0,0,
T-S_production,2023-11-17,74,0,0,0.811,39,-1480.0,14,39,-1480.0,14,0.0,0.0,0,
T-S_production,2023-11-20,20,0,0,0.8,11,730.0,7,11,730.0,7,0.0,0.0,0,
T-S_production,2023-11-21,50,0,0,0.78,26,-1545.0,9,26,-1545.0,9,0.0,0.0,0,
T-S_production,2023-11-22,78,0,0,0.808,42,31380225.0,18,42,31380225.0,18,0.0,0.0,0,
T-S_production,2023-11-23,8,0,0,0.625,4,-790.0,0,4,-790.0,0,0.0,0.0,0,
T-S_production,2023-11-24,25,0,0,0.76,12,255.0,4,12,255.0,4,0.0,0.0,0,
T-S_production,2023-11-26,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0,
T-S_production,2023-11-27,42,0,0,0.905,26,31232427.2,21,26,31232427.2,21,0.0,0.0,0,
T-S_production,2023-11-28,42,0,0,0.738,23,-31207629.2,12,23,-31207629.2,12,0.0,0.0,0,
T-S_production,2023-11-29,71,0,0,0.775,37,-62819143.41,12,37,-62819143.41,12,0.0,0.0,0,
T-S_production,2023-11-30,79,0,0,0.81,43,-31001602.6,19,43,-31001602.6,19,0.0,0.0,0,
T-S_production,2023-12-01,93,0,0,0.817,50,-62481862.41,17,50,-62481862.41,17,0.0,0.0,0,
T-S_production,2023-12-04,62,0,0,0.774,33,-30891371.8,13,33,-30891371.8,13,0.0,0.0,0,
T-S_production,2023-12-05,76,0,0,0.842,42,2510.0,23,42,2510.0,23,0.0,0.0,0,
T-S_production,2023-12-06,60,0,0,0.75,32,195.0,14,32,195.0,14,0.0,0.0,0,
T-S_production,2023-12-07,52,0,0,0.769,27,-31313411.0,15,27,-31313411.0,15,0.0,0.0,0,
T-S_production,2023-12-08,63,0,0,0.81,34,62485353.41,17,34,62485353.41,17,0.0,0.0,0,
T-S_production,2023-12-11,35,0,0,0.743,19,31344011.0,8,19,31344011.0,8,0.0,0.0,0,
T-S_production,2023-12-12,32,0,0,0.781,17,10.0,4,17,10.0,4,0.0,0.0,0,
T-S_production,2023-12-13,18,0,0,0.778,9,-2580.0,0,9,-2580.0,0,0.0,0.0,0,
T-S_production,2023-12-14,41,0,0,0.756,21,-3290.0,5,21,-3290.0,5,0.0,0.0,0,
T-S_production,2023-12-15,62,0,0,0.855,36,-13795.0,22,36,-13795.0,22,0.0,0.0,0,
T-S_production,2023-12-18,26,0,0,0.769,13,-2400.0,1,13,-2400.0,1,0.0,0.0,0,
T-S_production,2023-12-19,46,0,0,0.761,26,-33202011.0,11,26,-33202011.0,11,0.0,0.0,0,
T-S_production,2023-12-20,78,0,0,0.833,43,570.0,19,43,570.0,19,0.0,0.0,0,
T-S_production,2023-12-21,50,0,0,0.8,27,-795.0,11,27,-795.0,11,0.0,0.0,0,
T-S_production,2023-12-22,68,0,0,0.75,33,-3715.0,9,33,-3715.0,9,0.0,0.0,0,
T-S_production,2023-12-26,16,0,0,0.688,8,-1170.0,1,8,-1170.0,1,0.0,0.0,0,
T-S_production,2023-12-27,39,0,0,0.769,24,-2735.0,7,24,-2735.0,7,0.0,0.0,0,
T-S_production,2023-12-28,49,0,0,0.755,25,-33474678.8,5,25,-33474678.8,5,0.0,0.0,0,
T-S_production,2023-12-29,52,0,0,0.808,29,33264916.6,16,29,33264916.6,16,0.0,0.0,0,
T-S_production,2024-01-02,53,0,0,0.849,30,-32577215.2,14,30,-32577215.2,14,0.0,0.0,0,
T-S_production,2024-01-03,59,0,0,0.78,31,-32388218.2,9,31,-32388218.2,9,0.0,0.0,0,
T-S_production,2024-01-04,64,0,0,0.812,34,-32143412.4,11,34,-32143412.4,11,0.0,0.0,0,
T-S_production,2024-01-05,60,0,0,0.783,32,-32041199.8,14,32,-32041199.8,14,0.0,0.0,0,
T-S_production,2024-01-08,64,0,0,0.812,34,-31855772.4,20,34,-31855772.4,20,0.0,0.0,0,
T-S_production,2024-01-09,29,0,0,0.862,17,2950.0,12,17,2950.0,12,0.0,0.0,0,
T-S_production,2024-01-10,64,0,0,0.797,34,33139888.6,9,34,33139888.6,9,0.0,0.0,0,
T-S_production,2024-01-11,70,0,0,0.8,37,-66106298.01,13,37,-66106298.01,13,0.0,0.0,0,
T-S_production,2024-01-12,65,0,0,0.769,34,-1320.0,10,34,-1320.0,10,0.0,0.0,0,
T-S_production,2024-01-15,4,0,0,0.5,2,290.0,1,2,290.0,1,0.0,0.0,0,
T-S_production,2024-01-16,59,0,0,0.847,34,-32980080.8,21,34,-32980080.8,21,0.0,0.0,0,
T-S_production,2024-01-17,55,0,0,0.8,30,1435.0,15,30,1435.0,15,0.0,0.0,0,
