
========== Verifying Case: 3Q_sim14 (Jan 19-20) ==========
Parsing BINARY file (Flex-Scan): TradeActivityLog_2026-01-19_UTC.3Q_sim14.data
  Loaded 169 candidate prices from Binary windows (Total Records Searched: 82).
Parsing BINARY file (Flex-Scan): TradeActivityLog_2026-01-20_UTC.3Q_sim14.data
  Loaded 211 candidate prices from Binary windows (Total Records Searched: 92).
Parsing TEXT file: 3q_sim14_01192026_TradesList.txt
  Loaded 6 trades from Text.
  Total Text Trades: 6

  --- Matching Results ---
  Time                 | Price      | Symbol     | Status          | Binary Match
  2025-12-03 09:14:24  | 59.05      | CLF26      | MATCHED         | Bin found @ 59.05
  2025-12-03 09:14:24  | 59.05      | CLF26      | MATCHED         | Bin found @ 59.05
  2025-12-03 09:23:11  | 59.08      | CLF26      | MATCHED         | Bin found @ 59.08
  2025-12-03 09:23:11  | 59.08      | CLF26      | MATCHED         | Bin found @ 59.08
  2025-12-03 09:23:11  | 59.08      | CLF26      | MATCHED         | Bin found @ 59.08
  2025-12-03 09:23:11  | 59.08      | CLF26      | MATCHED         | Bin found @ 59.08
  2025-12-03 09:34:58  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 09:34:58  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 10:02:03  | 59.16      | CLF26      | MATCHED         | Bin found @ 59.16
  2025-12-03 10:02:03  | 59.16      | CLF26      | MATCHED         | Bin found @ 59.16
  2025-12-03 10:09:35  | 59.17      | CLF26      | MATCHED         | Bin found @ 59.16
  2025-12-03 10:09:35  | 59.17      | CLF26      | MATCHED         | Bin found @ 59.16
  2025-12-03 10:22:02  | 59.25      | CLF26      | MATCHED         | Bin found @ 59.25
  2025-12-03 10:22:02  | 59.25      | CLF26      | MATCHED         | Bin found @ 59.25
  2025-12-03 10:22:02  | 59.25      | CLF26      | MATCHED         | Bin found @ 59.25
  2025-12-03 10:30:32  | 59.23      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 10:30:32  | 59.23      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 10:30:58  | 59.27      | CLF26      | MATCHED         | Bin found @ 59.29
  2025-12-03 10:32:04  | 59.22      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 10:32:04  | 59.22      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 10:35:39  | 59.31      | CLF26      | MATCHED         | Bin found @ 59.30
  2025-12-03 10:40:03  | 59.30      | CLF26      | MATCHED         | Bin found @ 59.32
  2025-12-03 10:40:03  | 59.30      | CLF26      | MATCHED         | Bin found @ 59.32
  2025-12-03 10:40:03  | 59.30      | CLF26      | MATCHED         | Bin found @ 59.32
  2025-12-03 10:56:35  | 59.44      | CLF26      | MATCHED         | Bin found @ 59.46
  2025-12-03 10:56:35  | 59.44      | CLF26      | MATCHED         | Bin found @ 59.46
  2025-12-03 11:01:41  | 59.50      | CLF26      | MATCHED         | Bin found @ 59.51
  2025-12-03 11:01:41  | 59.50      | CLF26      | MATCHED         | Bin found @ 59.51
  2025-12-03 11:07:15  | 59.51      | CLF26      | MATCHED         | Bin found @ 59.53
  2025-12-03 11:09:36  | 59.44      | CLF26      | MATCHED         | Bin found @ 59.46
  2025-12-03 11:09:36  | 59.44      | CLF26      | MATCHED         | Bin found @ 59.46
  2025-12-03 11:09:36  | 59.44      | CLF26      | MATCHED         | Bin found @ 59.46
  2025-12-03 11:23:13  | 59.43      | CLF26      | MATCHED         | Bin found @ 59.44
  2025-12-03 11:23:13  | 59.43      | CLF26      | MATCHED         | Bin found @ 59.44
  2025-12-03 11:41:55  | 59.21      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 11:41:55  | 59.21      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 11:47:44  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 11:47:44  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 11:47:44  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 11:47:44  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 11:47:44  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.23
  2025-12-03 11:59:08  | 58.98      | CLF26      | MATCHED         | Bin found @ 58.97
  2025-12-03 11:59:08  | 58.98      | CLF26      | MATCHED         | Bin found @ 58.97
  2025-12-03 12:12:10  | 59.09      | CLF26      | MATCHED         | Bin found @ 59.11
